Name,Price,Change,24h %,Market Cap,Volume(24h),created_at
,"$23,541.87",508.504392,2.16%,"$454.49B$454,490,872,592","$24,597,235,2581,044,821 BTC",2023-03-01 14:59:38.949684
,"$1,654.05",24.14913,1.46%,"$202.42B$202,423,490,268","$7,660,250,8254,630,957 ETH",2023-03-01 14:59:38.955533
,$1.00,0.0001,0.01%,"$70.98B$70,982,414,805","$33,997,272,30133,990,573,670 USDT",2023-03-01 14:59:38.964407
,$302.14,8.036924,2.66%,"$47.70B$47,703,871,977","$378,760,3291,253,659 BNB",2023-03-01 14:59:38.973709
,$1.00,0.0001,0.01%,"$42.56B$42,557,433,540","$3,654,948,5083,654,746,061 USDC",2023-03-01 14:59:38.985175
,$0.3833,0.011000709999999999,2.87%,"$19.53B$19,531,589,298","$918,639,7942,396,401,823 XRP",2023-03-01 14:59:38.992164
,$0.3591,0.025639739999999994,7.14%,"$12.45B$12,450,163,501","$230,867,639642,915,527 ADA",2023-03-01 14:59:39.001376
,$0.08182,0.0031746160000000003,3.88%,"$10.86B$10,855,502,539","$263,070,7823,215,125,377 DOGE",2023-03-01 14:59:39.008001
,$1.24,0.11643600000000001,9.39%,"$10.84B$10,840,337,859","$486,865,202392,278,847 MATIC",2023-03-01 14:59:39.016326
Binance USD10BUSD,$1.00,0.0002,0.02%,"$10.36B$10,357,658,030","$6,177,968,7716,176,737,965 BUSD",2023-03-01 14:59:39.024220
