Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr)),Circulating Supply,created_at
BTC-USD,Bitcoin USD,"22,415.18",-872.42,-3.75%,432.772B,26.097B,26.097B,26.097B,19.307M,2023-03-03 09:48:11.319390
ETH-USD,Ethereum USD,"1,571.34",-55.26,-3.40%,192.29B,9.783B,9.783B,9.783B,122.374M,2023-03-03 09:48:11.322475
USDT-USD,Tether USD,1.0001,+0.0000,+0.00%,71.126B,37.564B,37.564B,37.564B,71.117B,2023-03-03 09:48:11.324995
BNB-USD,BNB USD,289.74,-7.81,-2.62%,45.748B,459.16M,459.16M,459.16M,157.895M,2023-03-03 09:48:11.327546
USDC-USD,USD Coin USD,0.999989,-0.000322,-0.03%,43.228B,4.165B,4.165B,4.165B,43.228B,2023-03-03 09:48:11.330681
XRP-USD,XRP USD,0.367013,-0.009131,-2.43%,18.7B,1.128B,1.128B,1.128B,50.951B,2023-03-03 09:48:11.333485
HEX-USD,HEX USD,0.071691,-0.000778,-1.07%,12.432B,14.421M,14.421M,14.421M,173.411B,2023-03-03 09:48:11.336323
ADA-USD,Cardano USD,0.340191,-0.006411,-1.85%,11.795B,383.471M,383.471M,383.471M,34.671B,2023-03-03 09:48:11.338914
MATIC-USD,Polygon USD,1.1719,-0.0255,-2.13%,10.236B,573.506M,573.506M,573.506M,8.734B,2023-03-03 09:48:11.341390
DOGE-USD,Dogecoin USD,0.076435,-0.003708,-4.63%,10.141B,554.028M,554.028M,554.028M,132.671B,2023-03-03 09:48:11.343930
BUSD-USD,Binance USD USD,1.0002,-0.0002,-0.02%,9.472B,7.81B,7.81B,7.81B,9.47B,2023-03-03 09:48:11.346603
SOL-USD,Solana USD,21.26,-0.57,-2.63%,8.055B,479.04M,479.04M,479.04M,378.851M,2023-03-03 09:48:11.349155
DOT-USD,Polkadot USD,6.0665,-0.2150,-3.42%,7.054B,292.867M,292.867M,292.867M,1.163B,2023-03-03 09:48:11.351945
WTRX-USD,Wrapped TRON USD,0.066646,-0.001708,-2.50%,6.776B,2.168M,2.168M,2.168M,101.676B,2023-03-03 09:48:11.354498
LTC-USD,Litecoin USD,89.94,-4.57,-4.84%,6.512B,660.701M,660.701M,660.701M,72.402M,2023-03-03 09:48:11.356879
SHIB-USD,Shiba Inu USD,0.000011,-0.000001,-4.54%,6.217B,285.614M,285.614M,285.614M,549.063T,2023-03-03 09:48:11.359310
TRX-USD,TRON USD,0.067349,-0.001951,-2.82%,6.155B,257.05M,257.05M,257.05M,91.393B,2023-03-03 09:48:11.362003
STETH-USD,Lido Staked ETH USD,"1,566.28",-53.97,-3.33%,5.463B,9.467M,9.467M,9.467M,3.488M,2023-03-03 09:48:11.364916
AVAX-USD,Avalanche USD,16.57,-0.64,-3.72%,5.383B,204.062M,204.062M,204.062M,324.803M,2023-03-03 09:48:11.367777
DAI-USD,Dai USD,0.999840,+0.000127,+0.01%,5.215B,177.756M,177.756M,177.756M,5.216B,2023-03-03 09:48:11.371537
UNI7083-USD,Uniswap USD,6.2623,-0.3316,-5.03%,4.773B,96.272M,96.272M,96.272M,762.209M,2023-03-03 09:48:11.374111
LINK-USD,Chainlink USD,6.9215,-0.2862,-3.97%,3.516B,346.929M,346.929M,346.929M,508M,2023-03-03 09:48:11.376603
ATOM-USD,Cosmos USD,12.01,-0.31,-2.48%,3.44B,125.841M,125.841M,125.841M,286.37M,2023-03-03 09:48:11.379267
WBTC-USD,Wrapped Bitcoin USD,"22,404.82",-892.27,-3.83%,3.434B,185.919M,185.919M,185.919M,"153,264",2023-03-03 09:48:11.381901
LEO-USD,UNUS SED LEO USD,3.3469,+0.0113,+0.34%,3.193B,2.136M,2.136M,2.136M,953.954M,2023-03-03 09:48:11.384645
