Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr)),Circulating Supply,created_at
BTC-USD,Bitcoin USD,"23,692.98",+478.27,+2.06%,457.407B,24.841B,24.841B,24.841B,19.306M,2023-03-01 16:42:11.873253
ETH-USD,Ethereum USD,"1,667.75",+57.55,+3.57%,204.089B,7.814B,7.814B,7.814B,122.374M,2023-03-01 16:42:12.715054
USDT-USD,Tether USD,1.0002,+0.0000,+0.00%,71.076B,34.193B,34.193B,34.193B,71.063B,2023-03-01 16:42:12.724068
BNB-USD,BNB USD,303.41,+1.38,+0.46%,47.907B,378.685M,378.685M,378.685M,157.895M,2023-03-01 16:42:12.735397
USDC-USD,USD Coin USD,0.999787,-0.000262,-0.03%,42.564B,3.707B,3.707B,3.707B,42.573B,2023-03-01 16:42:12.743958
XRP-USD,XRP USD,0.383613,+0.007688,+2.05%,19.545B,901.766M,901.766M,901.766M,50.951B,2023-03-01 16:42:12.749644
HEX-USD,HEX USD,0.076924,+0.009553,+14.18%,13.34B,28.724M,28.724M,28.724M,173.411B,2023-03-01 16:42:12.755996
ADA-USD,Cardano USD,0.361039,+0.007748,+2.19%,12.518B,228.229M,228.229M,228.229M,34.671B,2023-03-01 16:42:12.762347
MATIC-USD,Polygon USD,1.2456,+0.0401,+3.32%,10.88B,487.186M,487.186M,487.186M,8.734B,2023-03-01 16:42:12.771136
DOGE-USD,Dogecoin USD,0.082023,+0.001051,+1.30%,10.882B,260.201M,260.201M,260.201M,132.671B,2023-03-01 16:42:12.782638
BUSD-USD,Binance USD USD,1.0003,-0.0001,-0.01%,10.166B,6.262B,6.262B,6.262B,10.163B,2023-03-01 16:42:12.795261
SOL-USD,Solana USD,22.56,+0.58,+2.65%,8.545B,344.39M,344.39M,344.39M,378.853M,2023-03-01 16:42:12.811193
DOT-USD,Polkadot USD,6.5227,+0.1346,+2.11%,7.581B,260.009M,260.009M,260.009M,1.162B,2023-03-01 16:42:12.819319
WTRX-USD,Wrapped TRON USD,0.070676,+0.001531,+2.21%,7.186B,"963,747","963,747","963,747",101.676B,2023-03-01 16:42:12.835875
LTC-USD,Litecoin USD,97.98,+3.69,+3.92%,7.093B,530.371M,530.371M,530.371M,72.39M,2023-03-01 16:42:12.850720
SHIB-USD,Shiba Inu USD,0.000012,+0.000000,+1.80%,6.745B,156.792M,156.792M,156.792M,549.063T,2023-03-01 16:42:12.859235
TRX-USD,TRON USD,0.069975,+0.000851,+1.23%,6.397B,214.664M,214.664M,214.664M,91.417B,2023-03-01 16:42:12.871097
AVAX-USD,Avalanche USD,17.80,+0.64,+3.73%,5.782B,159.883M,159.883M,159.883M,324.788M,2023-03-01 16:42:12.880257
STETH-USD,Lido Staked ETH USD,"1,651.81",+39.26,+2.43%,5.761B,8.094M,8.094M,8.094M,3.488M,2023-03-01 16:42:12.888022
UNI7083-USD,Uniswap USD,6.8679,+0.3404,+5.21%,5.235B,96.642M,96.642M,96.642M,762.209M,2023-03-01 16:42:12.893363
DAI-USD,Dai USD,1.0001,+0.0000,+0.00%,5.205B,198.249M,198.249M,198.249M,5.204B,2023-03-01 16:42:12.899605
LINK-USD,Chainlink USD,7.5513,+0.3323,+4.60%,3.836B,300.497M,300.497M,300.497M,508M,2023-03-01 16:42:12.906503
ATOM-USD,Cosmos USD,12.84,+0.53,+4.29%,3.677B,124.727M,124.727M,124.727M,286.37M,2023-03-01 16:42:12.913417
WBTC-USD,Wrapped Bitcoin USD,"23,716.31",+538.33,+2.32%,3.635B,176.188M,176.188M,176.188M,"153,264",2023-03-01 16:42:12.922512
LEO-USD,UNUS SED LEO USD,3.3377,+0.0090,+0.27%,3.184B,2.036M,2.036M,2.036M,953.954M,2023-03-01 16:42:12.927816
