Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr)),Circulating Supply,created_at
BTC-USD,Bitcoin USD,"22,217.84",-213.43,-0.95%,429.053B,22.68B,22.68B,22.68B,19.311M,2023-03-07 23:47:59.385928
ETH-USD,Ethereum USD,"1,561.34",-7.43,-0.47%,191.067B,6.863B,6.863B,6.863B,122.374M,2023-03-07 23:47:59.416169
USDT-USD,Tether USD,1.0000,+0.0000,+0.00%,71.593B,31.454B,31.454B,31.454B,71.591B,2023-03-07 23:47:59.434319
BNB-USD,BNB USD,289.04,+0.94,+0.33%,45.638B,372.706M,372.706M,372.706M,157.894M,2023-03-07 23:47:59.453468
USDC-USD,USD Coin USD,1.0002,+0.0003,+0.03%,43.607B,3.568B,3.568B,3.568B,43.596B,2023-03-07 23:47:59.466421
XRP-USD,XRP USD,0.380943,+0.010334,+2.79%,19.409B,1.466B,1.466B,1.466B,50.951B,2023-03-07 23:47:59.487525
ADA-USD,Cardano USD,0.330078,-0.000491,-0.15%,11.448B,271.599M,271.599M,271.599M,34.683B,2023-03-07 23:47:59.513837
HEX-USD,HEX USD,0.064993,-0.005563,-7.88%,11.27B,13.767M,13.767M,13.767M,173.411B,2023-03-07 23:47:59.526207
MATIC-USD,Polygon USD,1.1490,+0.0149,+1.31%,10.036B,504.413M,504.413M,504.413M,8.734B,2023-03-07 23:47:59.538778
DOGE-USD,Dogecoin USD,0.073963,-0.000920,-1.23%,9.813B,308.242M,308.242M,308.242M,132.671B,2023-03-07 23:47:59.547868
BUSD-USD,Binance USD USD,1.0006,+0.0003,+0.03%,8.416B,5.381B,5.381B,5.381B,8.411B,2023-03-07 23:47:59.555943
SOL-USD,Solana USD,20.24,-0.43,-2.10%,7.747B,394.173M,394.173M,394.173M,382.817M,2023-03-07 23:47:59.564752
DOT-USD,Polkadot USD,5.8448,-0.0804,-1.36%,6.832B,246.376M,246.376M,246.376M,1.169B,2023-03-07 23:47:59.573286
WTRX-USD,Wrapped TRON USD,0.066783,-0.000706,-1.05%,6.79B,"887,990","887,990","887,990",101.676B,2023-03-07 23:47:59.579459
LTC-USD,Litecoin USD,86.27,-1.20,-1.37%,6.249B,560.495M,560.495M,560.495M,72.431M,2023-03-07 23:47:59.590185
SHIB-USD,Shiba Inu USD,0.000011,-0.000000,-0.43%,6.108B,231.437M,231.437M,231.437M,549.063T,2023-03-07 23:47:59.599910
TRX-USD,TRON USD,0.066312,-0.001082,-1.61%,6.057B,220.808M,220.808M,220.808M,91.342B,2023-03-07 23:47:59.618050
STETH-USD,Lido Staked ETH USD,"1,547.77",-17.77,-1.14%,5.398B,5.999M,5.999M,5.999M,3.488M,2023-03-07 23:47:59.625768
AVAX-USD,Avalanche USD,16.15,-0.42,-2.52%,5.253B,167.091M,167.091M,167.091M,325.27M,2023-03-07 23:47:59.638817
DAI-USD,Dai USD,1.0003,+0.0006,+0.06%,5.185B,159.298M,159.298M,159.298M,5.183B,2023-03-07 23:47:59.650637
UNI7083-USD,Uniswap USD,6.4176,+0.0791,+1.25%,4.892B,94.622M,94.622M,94.622M,762.209M,2023-03-07 23:47:59.656094
LINK-USD,Chainlink USD,6.8546,-0.0134,-0.19%,3.545B,251.685M,251.685M,251.685M,517.1M,2023-03-07 23:47:59.665254
WBTC-USD,Wrapped Bitcoin USD,"22,179.80",-250.53,-1.12%,3.399B,144.225M,144.225M,144.225M,"153,264",2023-03-07 23:47:59.674439
ATOM-USD,Cosmos USD,11.75,-0.28,-2.32%,3.364B,102.247M,102.247M,102.247M,286.37M,2023-03-07 23:47:59.683019
LEO-USD,UNUS SED LEO USD,3.3846,+0.0278,+0.83%,3.229B,"805,996","805,996","805,996",953.954M,2023-03-07 23:47:59.691116
